time,PM10,PM2.5,Carbon Monoxide,Nitrogen Dioxide,Sulphur Dioxide,Ozone,Aerosol Optical Depth,hour_sin,hour_cos,month_sin,month_cos
2022-08-04 07:00:00,0.14900314795383002,0.1515151515151515,0.15205327413984462,0.0819672131147541,0.049180327868852465,0.08260869565217392,0.034934497816593885,0.9829629131445341,0.3705904774487397,0.06698729810778076,0.24999999999999978
2022-08-04 08:00:00,0.11437565582371459,0.11666666666666667,0.14095449500554938,0.06557377049180328,0.04098360655737705,0.09565217391304347,0.034934497816593885,0.9330127018922194,0.2500000000000001,0.06698729810778076,0.24999999999999978
2022-08-04 09:00:00,0.09653725078698847,0.09696969696969697,0.12541620421753608,0.04508196721311476,0.03278688524590164,0.10869565217391304,0.030567685589519656,0.8535533905932737,0.14644660940672627,0.06698729810778076,0.24999999999999978
2022-08-04 10:00:00,0.10283315844700945,0.10454545454545455,0.11209766925638179,0.028688524590163935,0.03278688524590164,0.13478260869565217,0.034934497816593885,0.75,0.06698729810778065,0.06698729810778076,0.24999999999999978
2022-08-04 11:00:00,0.1248688352570829,0.12727272727272726,0.11320754716981132,0.028688524590163935,0.04098360655737705,0.15217391304347827,0.039301310043668124,0.6294095225512605,0.0170370868554659,0.06698729810778076,0.24999999999999978
2022-08-04 12:00:00,0.16054564533053517,0.16363636363636364,0.12097669256381799,0.03278688524590164,0.05737704918032787,0.16956521739130437,0.043668122270742356,0.5000000000000001,0.0,0.06698729810778076,0.24999999999999978
2022-08-04 13:00:00,0.1983210912906611,0.2,0.13429522752497225,0.05327868852459017,0.09836065573770493,0.19565217391304351,0.04803493449781659,0.37059047744873963,0.017037086855465844,0.06698729810778076,0.24999999999999978
2022-08-04 14:00:00,0.22350472193074503,0.22575757575757577,0.14539400665926747,0.0737704918032787,0.1557377049180328,0.2217391304347826,0.05676855895196507,0.2500000000000001,0.06698729810778059,0.06698729810778076,0.24999999999999978
2022-08-04 15:00:00,0.2214060860440714,0.22272727272727275,0.15760266370699222,0.10245901639344263,0.22950819672131148,0.2565217391304348,0.0611353711790393,0.14644660940672644,0.14644660940672605,0.06698729810778076,0.24999999999999978
2022-08-04 16:00:00,0.20776495278069257,0.20757575757575758,0.17203107658157601,0.13114754098360656,0.2950819672131148,0.2782608695652174,0.06550218340611355,0.06698729810778076,0.24999999999999978,0.06698729810778076,0.24999999999999978
2022-08-04 17:00:00,0.19412381951731375,0.1909090909090909,0.17758046614872364,0.1475409836065574,0.2868852459016394,0.26956521739130435,0.06986899563318778,0.017037086855465844,0.3705904774487397,0.06698729810778076,0.24999999999999978
2022-08-04 18:00:00,0.22245540398740818,0.21818181818181817,0.18201997780244172,0.1557377049180328,0.24590163934426232,0.24347826086956526,0.06986899563318778,0.0,0.4999999999999999,0.06698729810778076,0.24999999999999978
2022-08-04 19:00:00,0.08604407135362016,0.08636363636363636,0.1076581576026637,0.11065573770491804,0.13934426229508198,0.08695652173913045,0.034934497816593885,0.01703708685546579,0.6294095225512601,0.06698729810778076,0.24999999999999978
2022-08-04 20:00:00,0.08814270724029381,0.0893939393939394,0.11320754716981132,0.10655737704918034,0.13114754098360656,0.09130434782608697,0.034934497816593885,0.0669872981077807,0.75,0.06698729810778076,0.24999999999999978
2022-08-04 21:00:00,0.0975865687303253,0.1,0.11986681465038845,0.09836065573770493,0.12295081967213116,0.09565217391304347,0.034934497816593885,0.14644660940672616,0.8535533905932737,0.06698729810778076,0.24999999999999978
2022-08-04 22:00:00,0.1049317943336831,0.10606060606060606,0.12541620421753608,0.08606557377049182,0.09836065573770493,0.09565217391304347,0.034934497816593885,0.24999999999999978,0.9330127018922192,0.06698729810778076,0.24999999999999978
2022-08-04 23:00:00,0.1049317943336831,0.10606060606060606,0.12319644839067703,0.0737704918032787,0.09016393442622953,0.09130434782608697,0.034934497816593885,0.3705904774487392,0.9829629131445341,0.06698729810778076,0.24999999999999978
2022-08-05 00:00:00,0.09968520461699895,0.1,0.11764705882352941,0.06147540983606558,0.0737704918032787,0.0782608695652174,0.034934497816593885,0.5,1.0,0.06698729810778076,0.24999999999999978
2022-08-05 01:00:00,0.07974816369359916,0.08030303030303032,0.1076581576026637,0.049180327868852465,0.05737704918032787,0.06956521739130435,0.034934497816593885,0.6294095225512604,0.9829629131445341,0.06698729810778076,0.24999999999999978
2022-08-05 02:00:00,0.058761804826862545,0.0606060606060606,0.09877913429522753,0.03688524590163935,0.04098360655737705,0.06521739130434782,0.034934497816593885,0.75,0.9330127018922194,0.06698729810778076,0.24999999999999978
2022-08-05 03:00:00,0.044071353620146914,0.04393939393939394,0.08768035516093228,0.028688524590163935,0.03278688524590164,0.0608695652173913,0.02620087336244542,0.8535533905932737,0.8535533905932737,0.06698729810778076,0.24999999999999978
2022-08-05 04:00:00,0.0335781741867786,0.034848484848484844,0.07658157602663707,0.020491803278688527,0.024590163934426233,0.0608695652173913,0.021834061135371178,0.9330127018922193,0.75,0.06698729810778076,0.24999999999999978
2022-08-05 05:00:00,0.029380902413431272,0.030303030303030307,0.07325194228634849,0.020491803278688527,0.01639344262295082,0.06521739130434782,0.021834061135371178,0.9829629131445341,0.6294095225512604,0.06698729810778076,0.24999999999999978
2022-08-05 06:00:00,0.02833158447009444,0.02878787878787879,0.07325194228634849,0.020491803278688527,0.024590163934426233,0.06956521739130435,0.017467248908296946,1.0,0.5,0.06698729810778076,0.24999999999999978
2022-08-05 07:00:00,0.034627492130115435,0.034848484848484844,0.07658157602663707,0.020491803278688527,0.024590163934426233,0.08260869565217392,0.039301310043668124,0.9829629131445341,0.3705904774487397,0.06698729810778076,0.24999999999999978
2022-08-05 08:00:00,0.03987408184679959,0.0409090909090909,0.0776914539400666,0.020491803278688527,0.024590163934426233,0.09999999999999999,0.039301310043668124,0.9330127018922194,0.2500000000000001,0.06698729810778076,0.24999999999999978
2022-08-05 09:00:00,0.04826862539349423,0.04848484848484848,0.07991120976692564,0.020491803278688527,0.024590163934426233,0.12173913043478261,0.039301310043668124,0.8535533905932737,0.14644660940672627,0.06698729810778076,0.24999999999999978
2022-08-05 10:00:00,0.058761804826862545,0.05909090909090909,0.0832408435072142,0.020491803278688527,0.024590163934426233,0.15217391304347827,0.039301310043668124,0.75,0.06698729810778065,0.06698729810778076,0.24999999999999978
2022-08-05 11:00:00,0.07450157397691501,0.07424242424242425,0.08546059933407324,0.020491803278688527,0.03278688524590164,0.17391304347826086,0.039301310043668124,0.6294095225512605,0.0170370868554659,0.06698729810778076,0.24999999999999978
2022-08-05 12:00:00,0.09653725078698847,0.09696969696969697,0.08879023307436182,0.024590163934426233,0.04098360655737705,0.19565217391304351,0.039301310043668124,0.5000000000000001,0.0,0.06698729810778076,0.24999999999999978
2022-08-05 13:00:00,0.1112277019937041,0.11212121212121214,0.0921198668146504,0.028688524590163935,0.05737704918032787,0.21304347826086956,0.039301310043668124,0.37059047744873963,0.017037086855465844,0.06698729810778076,0.24999999999999978
2022-08-05 14:00:00,0.12381951731374607,0.12424242424242425,0.0932297447280799,0.03278688524590164,0.06557377049180328,0.2173913043478261,0.039301310043668124,0.2500000000000001,0.06698729810778059,0.06698729810778076,0.24999999999999978
2022-08-05 15:00:00,0.1248688352570829,0.12575757575757576,0.09433962264150944,0.03278688524590164,0.0737704918032787,0.2217391304347826,0.034934497816593885,0.14644660940672644,0.14644660940672605,0.06698729810778076,0.24999999999999978
2022-08-05 16:00:00,0.11647429171038827,0.1181818181818182,0.09655937846836848,0.04508196721311476,0.09016393442622953,0.21304347826086956,0.034934497816593885,0.06698729810778076,0.24999999999999978,0.06698729810778076,0.24999999999999978
2022-08-05 17:00:00,0.11332633788037777,0.11363636363636363,0.10210876803551608,0.06967213114754099,0.11475409836065574,0.2,0.039301310043668124,0.017037086855465844,0.3705904774487397,0.06698729810778076,0.24999999999999978
2022-08-05 18:00:00,0.09968520461699895,0.10151515151515152,0.10876803551609324,0.10655737704918034,0.1475409836065574,0.17826086956521742,0.034934497816593885,0.0,0.4999999999999999,0.06698729810778076,0.24999999999999978
2022-08-05 19:00:00,0.09233997901364113,0.09242424242424244,0.11098779134295228,0.1475409836065574,0.20491803278688525,0.13913043478260873,0.039301310043668124,0.01703708685546579,0.6294095225512601,0.06698729810778076,0.24999999999999978
2022-08-05 20:00:00,0.09129066107030431,0.09090909090909091,0.11320754716981132,0.13524590163934427,0.18032786885245905,0.14347826086956522,0.039301310043668124,0.0669872981077807,0.75,0.06698729810778076,0.24999999999999978
2022-08-05 21:00:00,0.09863588667366212,0.09848484848484848,0.11653718091009987,0.11065573770491804,0.1557377049180328,0.14782608695652172,0.039301310043668124,0.14644660940672616,0.8535533905932737,0.06698729810778076,0.24999999999999978
2022-08-05 22:00:00,0.1049317943336831,0.10454545454545455,0.11875693673695892,0.08606557377049182,0.12295081967213116,0.14782608695652172,0.039301310043668124,0.24999999999999978,0.9330127018922192,0.06698729810778076,0.24999999999999978
2022-08-05 23:00:00,0.10178384050367262,0.10151515151515152,0.11764705882352941,0.0778688524590164,0.10655737704918034,0.13478260869565217,0.034934497816593885,0.3705904774487392,0.9829629131445341,0.06698729810778076,0.24999999999999978
2022-08-06 00:00:00,0.09548793284365165,0.09545454545454547,0.11542730299667037,0.0737704918032787,0.09016393442622953,0.11739130434782609,0.034934497816593885,0.5,1.0,0.06698729810778076,0.24999999999999978
2022-08-06 01:00:00,0.08814270724029381,0.08787878787878789,0.11209766925638179,0.06967213114754099,0.0737704918032787,0.09565217391304347,0.034934497816593885,0.6294095225512604,0.9829629131445341,0.06698729810778076,0.24999999999999978
2022-08-06 02:00:00,0.0776495278069255,0.07727272727272728,0.10987791342952274,0.06557377049180328,0.06557377049180328,0.0782608695652174,0.030567685589519656,0.75,0.9330127018922194,0.06698729810778076,0.24999999999999978
2022-08-06 03:00:00,0.06820566631689402,0.06818181818181818,0.1076581576026637,0.06557377049180328,0.06557377049180328,0.056521739130434775,0.02620087336244542,0.8535533905932737,0.8535533905932737,0.06698729810778076,0.24999999999999978
2022-08-06 04:00:00,0.061909758656873044,0.0606060606060606,0.10210876803551608,0.05737704918032787,0.05737704918032787,0.043478260869565216,0.02620087336244542,0.9330127018922193,0.75,0.06698729810778076,0.24999999999999978
2022-08-06 05:00:00,0.05561385099685206,0.05454545454545455,0.09433962264150944,0.049180327868852465,0.049180327868852465,0.04782608695652174,0.02620087336244542,0.9829629131445341,0.6294095225512604,0.06698729810778076,0.24999999999999978
